name,phone,principal_contact,url,street_address,accreditation_status
Advanced Medical Billing Company,+17322864646,"Ms. Elena Hammer, Owner",https://www.bbb.org/us/nj/toms-river/profile/medical-billing/advanced-medical-billing-company-0221-90080955,231 Azalea Ct,False
Professional Medical Billing Group,+17346419991,"Ms. Debbie Magill, President",https://www.bbb.org/us/mi/westland/profile/medical-billing/professional-medical-billing-group-0372-49004482,1515 S Wayne Rd,True
Genesis Medical Billing Services,+18008795015,"Ms. Susan Sabadach, President",https://www.bbb.org/us/tx/fort-worth/profile/medical-billing/genesis-medical-billing-services-0825-235971772,6421 Camp Bowie Blvd Ste 406,True
Diligent Medical Billing LLC,+14256161496,"Ms. Karen Salmon, Member",https://www.bbb.org/us/wa/woodinville/profile/medical-billing/diligent-medical-billing-llc-1296-1000086915,Woodinville,True
"Medical Billing Specialists, LLC",+13177533289,"Ms. Maria Tabares, President",https://www.bbb.org/us/in/indianapolis/profile/billing-services/medical-billing-specialists-llc-0382-90005320,P O Box 1321,False
Skyline Medical Billing Management,+19282271167,"Ms. Jennifer Moran, Owner",https://www.bbb.org/us/az/dewey/profile/medical-billing/skyline-medical-billing-management-1126-1000061790,Dewey,False
"Medical Billing Solutions, Inc",+12064310138,"Ms. Beth Colombo, Member",https://www.bbb.org/us/wa/tukwila/profile/medical-billing/medical-billing-solutions-inc-1296-1000074592,PO Box 69737,False
Vision Medical Billing Services,+19195216480,"Ms. Gwendolyn Thompson, Owner",https://www.bbb.org/us/nc/raleigh/profile/medical-billing/vision-medical-billing-services-0593-90155722,6325 Falls of Neuse Rd 35-315,False
Coastal Medical Billing LLC,+13614528360,"Mrs. Tricia R Molina, Executive Director/CEO",https://www.bbb.org/us/tx/corpus-christi/profile/medical-billing/coastal-medical-billing-llc-0825-1000210070,5151 Flynn Pkwy Ste 115,False
Advanced Medical Billing Services,+12103630381,"Ms. Dana Cooper, President",https://www.bbb.org/us/tx/boerne/profile/medical-billing/advanced-medical-billing-services-0825-1000190255,Boerne,False
Dynamic Medical Billing Service,+13033463414,"Mr. Bob Tulper, Co-Owner",https://www.bbb.org/us/co/littleton/profile/medical-billing/dynamic-medical-billing-service-1296-46001497,PO Box 631248,False
"Medical Billing Concepts, Inc.",+18004369305,"Mr. Dana Thompson, President",https://www.bbb.org/us/fl/boynton-beach/profile/medical-billing/medical-billing-concepts-inc-0633-4002981,211 S Federal Hwy 7 & 8,False
Lauren Wadsworth Medical Billing,+19723834489,"Ms. Lauren Wadswroth, Owner/Operator",https://www.bbb.org/us/tx/murphy/profile/medical-billing/lauren-wadsworth-medical-billing-0875-91339777,120 E FM 544 Ste. 72,False
AMBS Medical Billing Services,+13043637000,"Mr. Bryan K Towns, President",https://www.bbb.org/us/wv/fairmont/profile/medical-billing/ambs-medical-billing-services-0282-92005432,100 Avery Olivia Way Ste C,False
Benedict Billing Solutions,+18055875108,"Ms. Joan Palmeiri, Executive Director",https://www.bbb.org/us/ca/simi-valley/profile/medical-billing/benedict-billing-solutions-1236-92025010,PO Box 871,False
Rainier Billing LLC,+13604743836,"Ms. Brandi Goellner, Owner",https://www.bbb.org/us/wa/marysville/profile/medical-billing/rainier-billing-llc-1296-1000119066,Marysville,False
"Medical Billing Technologies, Inc.",+15596276267,"Ms. Roberta Stephens, CEO/President",https://www.bbb.org/us/ca/visalia/profile/billing-services/medical-billing-technologies-inc-1126-83001343,525 W Main St Ste 204,False
Sublime Billing Services,+19493001657,"Mr. Michael Priesing, Owner",https://www.bbb.org/us/ca/santa-ana/profile/medical-billing/sublime-billing-services-1126-1000067807,2414 S Fairview St Ste 215,False
A1 Medical Billing Management,+18125374096,"Ms. Shirley Robinson, Owner",https://www.bbb.org/us/in/lawrenceburg/profile/billing-services/a1-medical-billing-management-0292-3005684,21207 Interlochen Ln,False
Medical Billing Solutions Inc,+18005965387,,https://www.bbb.org/us/il/troy/profile/billing-services/medical-billing-solutions-inc-0734-310359142,503 Buckeye Dr Ste 100,False
Absolute Medical Billing Specialists,+16233622129,"Ms. Maria Parial, Owner",https://www.bbb.org/us/az/peoria/profile/billing-services/absolute-medical-billing-specialists-1126-97011941,10529 W. Donald Drive,False
Rapid Return Medical Billing,+12188292455,"Jake Tiggelaar, Owner",https://www.bbb.org/us/mn/brainerd/profile/billing-services/rapid-return-medical-billing-0704-96157177,2011 S 6th St,False
Penny Lane Medical Billing,+17145196130,"Ms. Daphne Carrico, Owner",https://www.bbb.org/us/ca/orange/profile/medical-billing/penny-lane-medical-billing-1126-1000054505,Orange,False
AllClaims Medical Billing Solutions,+16193472527,"Ms. Maria L Laygo, Owner",https://www.bbb.org/us/ca/chula-vista/profile/billing-services/allclaims-medical-billing-solutions-1126-172001599,Chula Vista,False
Elite Medical Billing LLC,+18662898072,"Mr. Forrest Vance, Owner",https://www.bbb.org/us/sc/simpsonville/profile/medical-billing/elite-medical-billing-llc-0673-90001934/addressId/84464,2607 Woodruff Rd,True
Robles Medical Billing LLC,+15208696214,"Ms. Martha Robles-Stahl, Owner",https://www.bbb.org/us/az/phoenix/profile/medical-billing/robles-medical-billing-llc-1126-1000077401,Phoenix,False
Chesapeake Medical Billing Services,+14106302510,"Ms. Cindie Martin, President",https://www.bbb.org/us/md/white-marsh/profile/medical-billing/chesapeake-medical-billing-services-0011-90162683,11433 Pulaski Hwy Ste 6,False
Advantage Billing Services,+12067953781,"Ms. Melinda Cook, Owner",https://www.bbb.org/us/wa/kirkland/profile/billing-services/advantage-billing-services-1296-22943638,PO Box 857,False
Liberty Billing LLC,+14252181944,"Mrs. Lisa Schmidt, Managing Member",https://www.bbb.org/us/ca/palm-desert/profile/medical-billing/liberty-billing-llc-1296-1000012359,74401 Hovley Lane East Apt 418,False
Unified Billing LLC,+14259391293,"Ms. Monica Severtsen, President",https://www.bbb.org/us/wa/bothell/profile/medical-billing/unified-billing-llc-1296-1000035606,12100 NE 195th St Ste 325,False
Billing Ally LLC,+13609535300,"Robert Laub, President",https://www.bbb.org/us/wa/vancouver/profile/medical-billing/billing-ally-llc-1296-1000063665,800 NE Tenney Rd Ste 110-222,False
Billing Solutions Unlimited,+18886925592,"Ms. Kenya Batts, Owner",https://www.bbb.org/us/nc/rocky-mount/profile/medical-billing/billing-solutions-unlimited-0593-90287371,261 Whetstone Ct.,False
Triangle Billing Systems,+19195621882,"Mr. Dennis Chasten, Owner",https://www.bbb.org/us/nc/wake-forest/profile/medical-billing/triangle-billing-systems-0593-90078667,422 Wild Duck Ct,False
Guardian Billing LLC,+16127303502,"Melinda M Flaig, Owner",https://www.bbb.org/us/mn/shakopee/profile/medical-billing/guardian-billing-llc-0704-1000047625,1715 Fox Run,False
Coastal Billing LLC,+18337239219,Ms. Maria Allen,https://www.bbb.org/us/nc/wilmington/profile/medical-billing/coastal-billing-llc-0593-90051103,PO Box 7641,False
MediPro Billing Solutions,+13608728957,"Mrs. Catie M Mohr, Owner",https://www.bbb.org/us/wa/orting/profile/medical-billing/medipro-billing-solutions-1296-1000041502,1320 Riddell Ave NE,False
